"","CountrySender","CountryReceiver","HaveTreatise","DistanceSenderReceiver","logGDPsender","logGDPreceiver","LatSender","LatReceiver","LongSender","LongReceiver","logProtectedSpeciesSender","logProtectedSpeciesReceiver","logTonsFishTakenSender","logTonsFishTakenReceiver","numMultilateralTretiseSender","numMultilateralTretiseReceiver"
"13215","JOR","JAM",0,90,0.00274640146578919,-0.0244926366963947,31,18.25,36,-77.5,-1.03738170024557,-0.519827350091898,-3.46612825737621,-1.34119076515862,1,9
"13216","JOR","TTO",0,90,0.00274640146578919,-0.00689687480601497,31,11,36,-61,-1.03738170024557,-0.284034032168885,-3.46612825737621,-1.32071139082535,1,12
"13217","JOR","BRB",0,90,0.00274640146578919,-0.0781764118772306,31,13.1667,36,-59.5333,-1.03738170024557,-0.642932975709559,-3.46612825737621,-2.75313430863115,1,10
"13218","JOR","BHS",0,90,0.00274640146578919,-0.0494564892248111,31,24.25,36,-76,-1.03738170024557,0.357067024290441,-3.46612825737621,-1.45744395846878,1,4
"13219","JOR","GRD",0,90,0.00274640146578919,-0.156053585333618,31,12.1167,36,-61.6667,-1.03738170024557,-0.769949629502142,-3.46612825737621,-2.69613341740395,1,5
"13220","JOR","DMA",0,90,0.00274640146578919,-0.181111844066981,31,15.4167,36,-61.3333,-1.03738170024557,-0.769949629502142,-3.46612825737621,-3.40319765657774,1,4
"13221","JOR","LCA",0,90,0.00274640146578919,-0.13490644224623,31,13.8833,36,-61.1333,-1.03738170024557,-0.642932975709559,-3.46612825737621,-2.92190193866606,1,7
"13222","JOR","VCT",0,90,0.00274640146578919,-0.162825620243563,31,13.25,36,-61.2,-1.03738170024557,-0.642932975709559,-3.46612825737621,-2.51011147246144,1,10
"13223","JOR","ATG",0,90,0.00274640146578919,-0.137111514804544,31,17.05,36,-61.8,-1.03738170024557,-0.901275588935617,-3.46612825737621,-2.45187370571569,1,6
"13224","JOR","KNA",0,90,0.00274640146578919,-0.162825620243563,31,17.3333,36,-62.75,-1.03738170024557,-0.769949629502142,-3.46612825737621,-3.52688578636065,1,7
"13225","JOR","MEX",0,100,0.00274640146578919,0.14559129424763,31,23,36,-102,-1.03738170024557,7.60451573820633,-3.46612825737621,4.60400792984235,1,19
"13226","JOR","GTM",0,100,0.00274640146578919,0.0217583809543611,31,15.5,36,-90.25,-1.03738170024557,-0.170797020709979,-3.46612825737621,-1.39789381638289,1,16
"13227","JOR","SLV",0,100,0.00274640146578919,-0.00592835172788453,31,13.8333,36,-88.9167,-1.03738170024557,-1.1788313605718,-3.46612825737621,-0.26541686370488,1,8
"13228","JOR","HND",0,100,0.00274640146578919,-0.0195737876247986,31,15,36,-86.5,-1.03738170024557,0.0474827841138712,-3.46612825737621,-1.00443756369581,1,13
"13229","JOR","NIC",0,100,0.00274640146578919,-0.0565595124930574,31,13,36,-85,-1.03738170024557,0.456086537883226,-3.46612825737621,-0.553422644175542,1,16
"13230","JOR","PAN",0,90,0.00274640146578919,0.00370563415324909,31,9,36,-80,-1.03738170024557,1.35706702429044,-3.46612825737621,1.70958846877213,1,22
"13231","JOR","CRI",0,100,0.00274640146578919,0.0160926434186837,31,10,36,-84,-1.03738170024557,2.13939700741571,-3.46612825737621,-0.864949848768771,1,17
"13232","JOR","BLZ",0,100,0.00274640146578919,-0.127226755572002,31,17.25,36,-88.75,-1.03738170024557,0.357067024290441,-3.46612825737621,-2.27108643493471,1,18
"13233","JOR","BRA",0,90,0.00274640146578919,0.171054682316821,31,-10,36,-55,-1.03738170024557,4.3013389342896,-3.46612825737621,3.62007191493379,1,11
"13234","JOR","COL",0,90,0.00274640146578919,0.0978820764271617,31,4,36,-72,-1.03738170024557,2.42813483615592,-3.46612825737621,0.960583271491251,1,16
"13235","JOR","CHL",0,90,0.00274640146578919,0.0873556634401744,31,-30,36,-71,-1.03738170024557,-0.284034032168885,-3.46612825737621,7.08203130756554,1,21
"13236","JOR","PER",0,90,0.00274640146578919,0.0740398874644019,31,-10,36,-76,-1.03738170024557,-0.284034032168885,-3.46612825737621,8.97089284084526,1,25
"13237","JOR","ARG",0,90,0.00274640146578919,0.107434906346153,31,-34,36,-64,-1.03738170024557,1.35706702429044,-3.46612825737621,3.99361003087417,1,11
"13238","JOR","VEN",0,90,0.00274640146578919,0.110024463252887,31,8,36,-66,-1.03738170024557,1.18801891913574,-3.46612825737621,2.85787068592964,1,16
"13239","JOR","BOL",0,90,0.00274640146578919,-0.00980808501347363,31,-17,36,-65,-1.03738170024557,-4.64293297570956,-3.46612825737621,-1.8853263777153,1,7
"13240","JOR","ECU",0,90,0.00274640146578919,0.0348549198742067,31,-2,36,-77.5,-1.03738170024557,2.35706702429044,-3.46612825737621,2.63798374583527,1,23
"13241","JOR","PRY",0,90,0.00274640146578919,-0.0127277951168083,31,-23,36,-58,-1.03738170024557,-4.64293297570956,-3.46612825737621,-0.922347743444534,1,1
"13242","JOR","URY",0,90,0.00274640146578919,0.0198733662585897,31,-33,36,-56,-1.03738170024557,1.27314680739006,-3.46612825737621,1.01013895522472,1,15
"13243","JOR","GUY",0,90,0.00274640146578919,-0.105604291558836,31,5,36,-59,-1.03738170024557,0.357067024290441,-3.46612825737621,0.0106612069296306,1,8
"13244","JOR","SUR",0,90,0.00274640146578919,-0.0750595262369775,31,4,36,-56,-1.03738170024557,0.256046509856797,-3.46612825737621,-0.295087689563339,1,4
"13245","JOR","USA",0,100,0.00274640146578919,0.23620129103774,31,38,36,-97,-1.03738170024557,8.66120171994051,-3.46612825737621,7.36196816452315,1,63
"13246","JOR","CAN",0,100,0.00274640146578919,0.160455316879779,31,60,36,-95,-1.03738170024557,1.01392127378282,-3.46612825737621,4.25875886002653,1,45
"13247","JOR","AUS",0,90,0.00274640146578919,0.148084025077232,31,-27,36,133,-1.03738170024557,5.35706702429044,-3.46612825737621,1.89881328684542,1,31
"13248","JOR","NZL",0,90,0.00274640146578919,0.0704588630466962,31,-41,36,174,-1.03738170024557,-0.0603572807537187,-3.46612825737621,3.06411070865509,1,27
"13249","JOR","FJI",0,100,0.00274640146578919,-0.0896888362529364,31,-18,36,175,-1.03738170024557,-1.32630818535416,-3.46612825737621,-0.266021026419817,1,14
"13250","JOR","PNG",0,90,0.00274640146578919,-0.0403975445360589,31,-6,36,147,-1.03738170024557,1.76019126172329,-3.46612825737621,1.92394474641519,1,19
"13251","JOR","SLB",0,90,0.00274640146578919,-0.162825620243563,31,-8,36,159,-1.03738170024557,-0.769949629502142,-3.46612825737621,-0.631723732847384,1,23
"13252","JOR","VUT",0,90,0.00274640146578919,-0.16169375820988,31,-16,36,167,-1.03738170024557,-0.901275588935617,-3.46612825737621,1.24213868631684,1,18
"13253","JOR","FSM",0,100,0.00274640146578919,-0.204450126195469,31,6.9167,36,158.25,-1.03738170024557,-0.901275588935617,-3.46612825737621,-0.599856295263383,1,14
"13254","JOR","MHL",0,100,0.00274640146578919,-0.235627711395095,31,9,36,168,-1.03738170024557,-1.64293297570956,-3.46612825737621,0.0757323154555509,1,15
"13255","JOR","PLW",0,90,0.00274640146578919,-0.235627711395095,31,7.5,36,134.5,-1.03738170024557,-1.1788313605718,-3.46612825737621,-2.91289633269227,1,15
"13256","JOR","KIR",0,100,0.00274640146578919,-0.239288484244776,31,1.4167,36,173,-1.03738170024557,-1.64293297570956,-3.46612825737621,-0.458862615130837,1,18
"13257","JOR","NRU",0,100,0.00274640146578919,-0.316787567410074,31,-0.5333,36,166.9167,-1.03738170024557,-4.64293297570956,-3.46612825737621,-4.4879152643388,1,16
"13258","JOR","COK",0,100,0.00274640146578919,0.604773096000297,31,-21.2333,36,-159.7667,-1.03738170024557,-4.64293297570956,-3.46612825737621,-2.30324155286264,1,11
"13259","JOR","WSM",0,100,0.00274640146578919,-0.16964382847534,31,-13.5833,36,-172.3333,-1.03738170024557,-1.32630818535416,-3.46612825737621,-2.17316048792632,1,12
"13260","JOR","TON",0,100,0.00274640146578919,-0.195049351910763,31,-20,36,-175,-1.03738170024557,-1.48065531554118,-3.46612825737621,-2.74305559152631,1,12
"13261","JOR","TUV",0,100,0.00274640146578919,-0.326077614317167,31,-8,36,178,-1.03738170024557,-1.64293297570956,-3.46612825737621,-6.35206581372876,1,18
"13262","ISR","CYP",0,60,0.0873556634401744,-0.00302839802809496,31.5,35,34.75,33,1.27314680739006,-0.519827350091898,-2.23027483216064,-2.73790697211853,8,11
"13263","ISR","KWT",0,70,0.0873556634401744,0.0650631665028438,31.5,29.3375,34.75,47.6581,1.27314680739006,-1.32630818535416,-2.23027483216064,-2.11311908925838,8,1
"13264","ISR","SYR",0,60,0.0873556634401744,0.0357838563088655,31.5,35,34.75,38,1.27314680739006,1.10162967082847,-2.23027483216064,-1.70113987346917,8,8
"13265","ISR","BHR",0,80,0.0873556634401744,-0.00302839802809496,31.5,26,34.75,50.55,1.27314680739006,-1.81450585096337,-2.23027483216064,-1.42535538650398,8,3
"13266","ISR","QAT",0,80,0.0873556634401744,0.0659644734588567,31.5,25.5,34.75,51.25,1.27314680739006,-1.32630818535416,-2.23027483216064,-1.28801347730264,8,2
"13267","ISR","OMN",0,80,0.0873556634401744,0.0348549198742067,31.5,21,34.75,57,1.27314680739006,0.256046509856797,-2.23027483216064,1.23748419424613,8,5
"13268","ISR","ARE",0,80,0.0873556634401744,0.0987542962818475,31.5,24,34.75,54,1.27314680739006,-1.03738170024557,-2.23027483216064,0.601718669834312,8,2
"13269","ISR","YEM",0,80,0.0873556634401744,0.00944178754877401,31.5,15,34.75,48,1.27314680739006,-0.0603572807537187,-2.23027483216064,1.99228351680164,8,2
"13270","ISR","ARM",0,70,0.0873556634401744,-0.0414000508856849,31.5,40,34.75,45,1.27314680739006,-2.91088216814068,-2.23027483216064,-3.85050044634386,8,2
"13271","ISR","AZE",0,70,0.0873556634401744,0.0311305207832242,31.5,40.5,34.75,47.5,1.27314680739006,-1.48065531554118,-2.23027483216064,-1.65064171094119,8,0
